iter	Passed	Remaining
431	3978	626
432	3986	616
433	3996	607
434	4004	598
435	4013	589
436	4021	579
437	4030	570
438	4039	561
439	4047	551
440	4056	542
441	4065	533
442	4073	524
443	4082	514
444	4090	505
445	4100	496
446	4108	487
447	4116	477
448	4125	468
449	4133	459
450	4142	450
451	4151	440
452	4159	431
453	4168	422
454	4176	413
455	4186	403
456	4196	394
457	4207	385
458	4216	376
459	4225	367
460	4234	358
461	4243	348
462	4251	339
463	4260	330
464	4269	321
465	4279	312
466	4288	303
467	4297	293
468	4305	284
469	4315	275
470	4325	266
471	4334	257
472	4342	247
473	4353	238
474	4361	229
475	4370	220
476	4379	211
477	4388	201
478	4397	192
479	4407	183
480	4415	174
481	4424	165
482	4434	156
483	4443	146
484	4451	137
485	4461	128
486	4469	119
487	4478	110
488	4485	100
489	4494	91
490	4502	82
491	4511	73
492	4519	64
493	4528	55
494	4537	45
495	4546	36
496	4553	27
497	4562	18
498	4571	9
499	4580	0
