iter	Logloss
0	0.6756650326
1	0.6597803278
2	0.6452075112
3	0.6322028538
4	0.6209690129
5	0.6109032464
6	0.6011491365
7	0.5927649277
8	0.5851604056
9	0.5783056356
10	0.5720219152
11	0.5661767998
12	0.561299223
13	0.5569620758
14	0.5524190619
15	0.548947828
16	0.545522491
17	0.5424480822
18	0.5394844376
19	0.5367837442
20	0.5336919237
21	0.5315807383
22	0.5288521117
23	0.5272024232
24	0.5250268807
25	0.5232055891
26	0.5214676745
27	0.5200660489
28	0.5188081675
29	0.5178906254
30	0.5169369913
31	0.5155195171
32	0.5143179142
33	0.513148587
34	0.5121992652
35	0.5110869152
36	0.5103123747
37	0.5093044699
38	0.5084943252
39	0.5074132392
40	0.5067919853
41	0.505445909
42	0.5048183483
43	0.5040753909
44	0.5032667333
45	0.5023654747
46	0.5016174474
47	0.5009603442
48	0.5004083334
49	0.4996101554
50	0.4988148207
51	0.498410396
52	0.4978777265
53	0.4972724219
54	0.4964874466
55	0.4957218803
56	0.4952803732
57	0.4947111434
58	0.4942392578
59	0.4936809718
60	0.4930246242
61	0.4924728003
62	0.4919539627
63	0.4914534632
64	0.4909045154
65	0.4903931471
66	0.4893068742
67	0.4886761605
68	0.4881347596
69	0.4875106532
70	0.4867455364
71	0.4861726424
72	0.4858165039
73	0.4852731373
74	0.4850628223
75	0.4845559605
76	0.4841343913
77	0.4834798676
78	0.4829902312
79	0.482498248
80	0.4817418312
81	0.4812175145
82	0.4808985594
83	0.4807506828
84	0.480286839
85	0.4797248133
86	0.4790745044
87	0.4783915854
88	0.4778769494
89	0.4775581835
90	0.4768464573
91	0.4764710368
92	0.4761331906
93	0.4753851505
94	0.4751191636
95	0.4748648909
96	0.4741931707
97	0.4737767998
98	0.4735483098
99	0.4732319939
100	0.4729658852
101	0.4724875812
102	0.4718962552
103	0.4715141418
104	0.4709529636
105	0.4705387587
106	0.4702764899
107	0.4700282126
108	0.4696629923
109	0.4691489964
110	0.4683967912
111	0.4679688941
112	0.46771488
113	0.4675376331
114	0.4673484563
115	0.4669911497
116	0.4665826331
117	0.466128026
118	0.4652963192
119	0.465126893
120	0.4645948865
121	0.464006647
122	0.4634217482
123	0.4630535402
124	0.4627784692
125	0.4626506157
126	0.4620934672
127	0.4616967365
128	0.461218584
129	0.4607178625
130	0.4604020254
131	0.4602232556
132	0.4600547991
133	0.459642259
134	0.4592177621
135	0.4590530546
136	0.4586113959
137	0.4583076537
138	0.4578578095
139	0.4575094846
140	0.4572460321
141	0.4569156811
142	0.456705831
143	0.4564568457
