iter	Logloss
144	0.456303528
145	0.456060883
146	0.4556202874
147	0.4553253875
148	0.4550362532
149	0.4547131817
150	0.4543025477
151	0.4538949988
152	0.4535138948
153	0.4532432803
154	0.4528642485
155	0.4521500772
156	0.4518453348
157	0.4517328962
158	0.4512384671
159	0.4508006885
160	0.45054874
161	0.4502506927
162	0.4498689954
163	0.4494058584
164	0.4490883457
165	0.4485972743
166	0.4483427467
167	0.4479708148
168	0.44756139
169	0.4473450083
170	0.446897064
171	0.4465720894
172	0.4463323976
173	0.446027523
174	0.4457509853
175	0.445528502
176	0.4452584112
177	0.4449565918
178	0.4446551373
179	0.4442447603
180	0.443837276
181	0.4436280222
182	0.443293375
183	0.4427978342
184	0.4424041167
185	0.4420791495
186	0.4418721948
187	0.4412143273
188	0.4408323929
189	0.4405870317
190	0.4403863454
191	0.4399587656
192	0.4397745313
193	0.4395648866
194	0.4390808289
195	0.4386788166
196	0.4384763503
197	0.4382809128
198	0.43797757
199	0.4376509695
200	0.4374147081
201	0.4372888759
202	0.4371916387
203	0.4369536113
204	0.4365554742
205	0.4362921688
206	0.4359292047
207	0.4356779404
208	0.4354279553
209	0.4352796345
210	0.4351310333
211	0.434932634
212	0.4345013827
213	0.4341002419
214	0.4338505858
215	0.4335456536
216	0.4332934853
217	0.4331123803
218	0.4327321734
219	0.4324740023
220	0.4321906939
221	0.4320229854
222	0.4318862932
223	0.4316526485
224	0.4314577934
225	0.4310745406
226	0.4308260198
227	0.430421897
228	0.4299310563
229	0.4296186289
230	0.4294187583
231	0.4292397865
232	0.4290591965
233	0.4288282605
234	0.4285506775
235	0.4284465699
236	0.4282317651
237	0.4279457537
238	0.4274688858
239	0.4271941586
240	0.4270636068
241	0.4268564755
242	0.4266776173
243	0.426320532
244	0.4259596533
245	0.4256088887
246	0.4252962899
247	0.4249981652
248	0.4248465255
249	0.424632788
250	0.4243017823
251	0.423947844
252	0.4237394342
253	0.4234522621
254	0.4232770586
255	0.4228228954
256	0.4226783162
257	0.4225234394
258	0.4223525129
259	0.4221069812
260	0.4218881991
261	0.4215939895
262	0.4213283281
263	0.4211700412
264	0.4208121411
265	0.4204847583
266	0.4201978532
267	0.419977079
268	0.419778029
269	0.419386078
270	0.4192073535
271	0.4190701412
272	0.4187196197
273	0.4185214493
274	0.4183885145
275	0.4181654229
276	0.4178744762
277	0.417639417
278	0.4175425985
279	0.4174007831
280	0.4170479466
281	0.4168672993
282	0.4166505948
283	0.4163952768
284	0.4162223095
285	0.4159948256
286	0.4157769248
287	0.4156083332
288	0.415457445
289	0.4152613272
290	0.4151099146
291	0.4149626653
292	0.4146655905
293	0.4145719075
294	0.414248186
295	0.4141243012
296	0.4139106448
297	0.4136711899
298	0.4135030867
299	0.4133461311
300	0.4130272906
301	0.4128207873
302	0.4125076454
303	0.4122845347
304	0.4119527391
305	0.4116271184
306	0.4113822108
307	0.4111501758
308	0.4109031823
309	0.4106526568
310	0.4104706558
311	0.4103433297
312	0.4101961218
313	0.4099489902
314	0.4097639884
315	0.4096388601
316	0.4094062561
317	0.409242936
318	0.4090864675
319	0.4089108867
320	0.4087068813
321	0.4085556115
322	0.4084230021
323	0.4083015786
324	0.4080875508
325	0.4079068918
326	0.4076315211
327	0.4073963516
328	0.407279258
329	0.4071899569
330	0.4069934004
331	0.4068294511
332	0.4067222356
333	0.4064093626
334	0.4062906297
335	0.4061611343
336	0.4059519389
337	0.4057498666
338	0.4055587527
339	0.4054394555
340	0.405258377
341	0.4051051916
342	0.4049863043
343	0.404698045
344	0.4044491802
345	0.4043656184
346	0.4042954424
347	0.4040428808
348	0.4037835976
349	0.4036602668
350	0.4033817617
351	0.4031571827
352	0.4029380684
353	0.402812378
354	0.4025995641
355	0.4024335469
356	0.4022512124
357	0.4020442328
358	0.4018447323
359	0.4016979959
360	0.4015604697
361	0.4013122169
362	0.4011688419
363	0.4007494622
364	0.400588665
365	0.400477337
366	0.4002687892
367	0.3999679176
368	0.3997528876
369	0.3996393421
370	0.3994309698
371	0.399115599
372	0.3990283166
373	0.3988724621
374	0.3987448018
375	0.3985566403
376	0.3983510222
377	0.3982531031
378	0.3980519741
379	0.3978522874
380	0.3977117992
381	0.3974614154
382	0.3973598399
383	0.3970428387
384	0.3969237381
385	0.3967306293
386	0.396435067
387	0.3963071582
388	0.3961267939
389	0.3959529623
390	0.3958183034
391	0.3956407259
392	0.3954665389
393	0.3952095926
394	0.395131149
395	0.3950044289
396	0.3947309496
397	0.3946184382
398	0.3944783482
399	0.3941898043
400	0.3940558319
401	0.3937898248
402	0.3936440611
403	0.3934674849
404	0.3933546347
405	0.3931304461
406	0.3930351752
407	0.3927186864
408	0.3926281628
409	0.39255178
410	0.3924051279
411	0.3922033212
412	0.392066672
413	0.392002809
414	0.3918765829
415	0.3917467881
416	0.3916515814
417	0.391447235
418	0.3912571001
419	0.3911894396
420	0.3910948573
421	0.3910181941
422	0.3908923754
423	0.3907682301
424	0.3905531686
425	0.390438527
426	0.3902094633
427	0.3900572525
428	0.3899429336
429	0.3898596084
430	0.3897286676
431	0.3895875437
432	0.3895005722
433	0.3892705762
434	0.3890167894
435	0.3889528137
436	0.3888293604
437	0.3887227792
438	0.3885825003
439	0.388366824
440	0.3882598562
441	0.388129563
442	0.3879882511
443	0.3878236293
444	0.3877675363
445	0.3876248011
446	0.3875006236
447	0.3873268251
448	0.3871791493
449	0.3870689238
450	0.3869554172
451	0.3868236248
452	0.3866542028
453	0.3865236222
454	0.3864694265
455	0.3863067716
456	0.3861363336
457	0.3859388729
458	0.3858563846
459	0.3856847543
460	0.3854384214
461	0.3852011508
462	0.385044202
463	0.3847183933
464	0.3846251225
465	0.3843558307
466	0.3842468768
467	0.384099408
468	0.3839444487
469	0.3838220891
470	0.3836841252
471	0.3835317946
472	0.3833528286
473	0.3831963075
474	0.3830601275
475	0.3829142265
476	0.3827249469
477	0.3825042575
478	0.3823877235
479	0.3822408019
480	0.3821018783
481	0.3819633172
482	0.3818940159
483	0.3817468547
484	0.3816385401
485	0.3815513699
486	0.3813793659
487	0.3813026005
488	0.3812380069
489	0.3811583946
490	0.3809270197
491	0.3808121198
492	0.3807288665
493	0.3806267865
494	0.3805600023
495	0.3803281522
496	0.3801216453
497	0.3800327297
498	0.3799064076
499	0.3798127268
